url,price,type_of_property,subtype,type_of_sale,land_surface,living_surface,postal_code,locality,bedrooms,description,equiped_kitchen,terrace,terrace_surface,furnished,open_fire,garden,garden_surface,number_of_facades,swimming_pool,state_of_building
https://www.immoweb.be/en/classified/house/for-sale/berchem-sainte-agathe/1082/20822141,,,,,,,,,,3 bedrooms2 bathrooms211m²square meterslivable space145m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/aiseau-presles/6250/20822139,,,,,,,,,,3 bedrooms2 bathrooms200m²square meterslivable space4300m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/lichtaart/2460/20822138,,,,,,,,,,3 bedrooms2 bathrooms450m²square meterslivable space2341m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/triplex/for-sale/woluwe-saint-pierre/1150/20822137,,,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/oud-turnhout/2360/20545644,,,,,,,,,,4 bedrooms2 bathrooms160m²square meterslivable space405m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/soiron/4861/20822136,,,,,,,,,,5 bedrooms2 bathrooms270m²square meterslivable space1323m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20822133,,,,,,,,,,"3 bedrooms1 bathroomFloor :
                                        1",,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/hannut/4280/20822132,,,,,,,,,,4 bedrooms230m²square meterslivable space2000m²square metersof landAvailable date : 08/13/2026,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/mons/7011/20822124,,,,,,,,,,4 bedrooms1 bathroom175m²square meterslivable space430m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/duplex/for-sale/soumagne/4630/20822123,,,,,,,,,,"2 bedrooms1 bathroom117m²square meterslivable spaceFloor :
                                        1",,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/soumagne/4630/20822122,,,,,,,,,,"2 bedrooms1 bathroom117m²square meterslivable spaceFloor :
                                        1",,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/nieuwpoort/8620/20822121,,,,,,,,,,4 bedrooms2 bathrooms332m²square meterslivable space1248m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/hove/2540/20822120,,,,,,,,,,9 bedrooms4 bathrooms960m²square meterslivable space42358m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/molenbeek-saint-jean/1080/20822116,,,,,,,,,,6 bedrooms3 bathrooms502m²square meterslivable space246m²square metersof landAvailable date : 11/01/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/helecine/1357/20701902,,,,,,,,,,3 bedrooms1 bathroom450m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/leuven-kessel-lo/3010/20822114,,,,,,,,,,4 bedrooms1 bathroom199m²square meterslivable space200m²square metersof landLink to the virtual visit,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/20198855,,,,,,,,,,5 bedrooms1 bathroom410m²square meterslivable space480m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/habay/6721/20537148,,,,,,,,,,5 bedrooms2 bathrooms350m²square meterslivable space627m²square metersof landLink to the virtual visit,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/mons/7000/20822112,,,,,,,,,,"2 bedrooms1 bathroom64m²square meterslivable spaceFloor :
                                        2",,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20822111,,,,,,,,,,"2 bedrooms1 bathroom113m²square meterslivable spaceFloor :
                                        7",,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/20822110,,,,,,,,,,4 bedrooms2 bathrooms155m²square meterslivable space199m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/20822109,,,,,,,,,,4 bedrooms2 bathrooms155m²square meterslivable space199m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2600/20822108,,,,,,,,,,3 bedrooms1 bathroom109m²square meterslivable space56m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20822107,,,,,,,,,,"1 bedroom1 bathroom82m²square meterslivable spaceFloor :
                                        7",,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20818230,,,,,,,,,,4 bedrooms1 bathroom160m²square meterslivable space240m²square metersof landAvailable date : 04/11/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/aartrijke/8211/20820692,,,,,,,,,,4 bedrooms1 bathroom232m²square meterslivable space912m²square metersof landAvailable date : 07/01/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/groot-bijgaarden/1702/20821300,,,,,,,,,,2 bedrooms1 bathroom92m²square meterslivable space290m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/knokke/8300/20820675,,,,,,,,,,3 bedrooms1 bathroom132m²square meterslivable space681m²square metersof landAvailable date : 06/16/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/dion-le-mont/1325/20817262,,,,,,,,,,4 bedrooms238 - 266m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20810694,,,,,,,,,,4 bedrooms2 bathrooms186m²square meterslivable space75m²square metersof landAvailable date : 06/12/2025Link to the virtual visit,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20811524,,,,,,,,,,3 bedrooms1 bathroom134m²square meterslivable space106m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20818500,,,,,,,,,,2 bedrooms1 bathroom60m²square meterslivable space170m²square metersof landAvailable date : 06/16/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/hannut/4280/20820346,,,,,,,,,,5 bedrooms3 bathrooms230m²square meterslivable space610m²square metersof landAvailable date : 04/14/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/zwalm/9630/20820670,,,,,,,,,,4 bedrooms1 bathroom256m²square meterslivable space1217m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/amay/4540/20818402,,,,,,,,,,4 bedrooms1 bathroom294m²square meterslivable space667m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/mont-de-lenclus/7750/20817455,,,,,,,,,,3 bedrooms1 bathroom158m²square meterslivable space390m²square metersof landAvailable date : 09/20/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/lint/2547/20819518,,,,,,,,,,3 bedrooms1 bathroom155m²square meterslivable space704m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20814801,,,,,,,,,,4 bedrooms2 bathrooms192m²square meterslivable space1037m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/sint-lievens-houtem/9520/20814500,,,,,,,,,,3 bedrooms148 - 177m²square metersAvailable date : 12/01/2024,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/aalst/9300/20816478,,,,,,,,,,3 bedrooms132 - 154m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/deinze-astene/9800/20814166,,,,,,,,,,4 bedrooms170 - 217m²square meters,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/huy/4500/20820903,,,,,,,,,,3 bedrooms3 bathrooms107m²square meterslivable space47m²square metersof landAvailable date : 05/18/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/huy/4500/20820909,,,,,,,,,,3 bedrooms3 bathrooms107m²square meterslivable space47m²square metersof landAvailable date : 05/18/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/hermee/4680/20821871,,,,,,,,,,6 bedrooms4 bathrooms289m²square meterslivable space1019m²square metersof landAvailable date : 11/05/2025,,,,,,,,,,
https://www.immoweb.be/en/classified/bungalow/for-sale/nieuwerkerken/9320/20821835,,,,,,,,,,4 bedrooms2 bathrooms230m²square meterslivable space651m²square metersof land,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-leeuw/1601/20821266,,,,,,,,,,3 bedrooms2 bathrooms170m²square meterslivable space195m²square metersof landLink to the virtual visit,,,,,,,,,,
